Store,Date,Weekly_Sales,Holiday_Flag,Temperature,CPI,Unemployment
1,05-02-2010,1643690.9,0,42.31,211.0963582,8.106
1,12-02-2010,1641957.44,1,38.51,211.2421698,8.106
1,19-02-2010,1611968.17,0,39.93,211.2891429,8.106
1,26-02-2010,1409727.59,0,46.63,211.3196429,8.106
1,05-03-2010,1554806.68,0,46.5,211.3501429,8.106
1,12-03-2010,1439541.59,0,57.79,211.3806429,8.106
1,19-03-2010,1472515.79,0,54.58,211.215635,8.106
1,26-03-2010,1404429.92,0,51.45,211.0180424,8.106
1,02-04-2010,1594968.28,0,62.27,210.8204499,7.808
1,09-04-2010,1545418.53,0,65.86,210.6228574,7.808
1,16-04-2010,1466058.28,0,66.32,210.4887,7.808
1,23-04-2010,1391256.12,0,64.84,210.4391228,7.808
1,30-04-2010,1425100.71,0,67.41,210.3895456,7.808
1,07-05-2010,1603955.12,0,72.55,210.3399684,7.808
1,14-05-2010,1494251.5,0,74.78,210.3374261,7.808
1,21-05-2010,1399662.07,0,76.44,210.6170934,7.808
1,28-05-2010,1432069.95,0,80.44,210.8967606,7.808
1,04-06-2010,1615524.71,0,80.69,211.1764278,7.808
1,11-06-2010,1542561.09,0,80.43,211.4560951,7.808
2,05-02-2010,2136989.46,0,40.19,210.7526053,8.324
2,12-02-2010,2137809.5,1,38.49,210.8979935,8.324
2,19-02-2010,2124451.54,0,39.69,210.9451605,8.324
2,26-02-2010,1865097.27,0,46.1,210.9759573,8.324
2,05-03-2010,1991013.13,0,47.17,211.0067542,8.324
2,12-03-2010,1990483.78,0,57.56,211.037551,8.324
2,19-03-2010,1946070.88,0,54.52,210.8733316,8.324
2,26-03-2010,1750197.81,0,51.26,210.6766095,8.324
2,02-04-2010,2066187.72,0,63.27,210.4798874,8.2
2,09-04-2010,1954689.21,0,65.41,210.2831653,8.2
2,16-04-2010,1874957.94,0,68.07,210.1495463,8.2
2,23-04-2010,1821990.93,0,65.11,210.1000648,8.2
2,30-04-2010,1802450.29,0,66.98,210.0505833,8.2
2,07-05-2010,2042581.71,0,71.28,210.0011018,8.2
2,14-05-2010,1880752.36,0,73.31,209.9984585,8.2
2,21-05-2010,1896937.1,0,74.83,210.2768443,8.2
2,28-05-2010,1957113.89,0,81.13,210.5552301,8.2
2,04-06-2010,2102539.93,0,81.81,210.833616,8.2
2,11-06-2010,2025538.76,0,83.4,211.1120018,8.2
2,18-06-2010,2001636.96,0,85.81,211.1096543,8.2
3,05-02-2010,461622.22,0,45.71,214.4248812,7.368
3,12-02-2010,420728.96,1,47.93,214.5747916,7.368
3,19-02-2010,421642.19,0,47.07,214.6198868,7.368
3,26-02-2010,407204.86,0,52.05,214.6475127,7.368
3,05-03-2010,415202.04,0,53.04,214.6751386,7.368
3,12-03-2010,384200.69,0,63.08,214.7027646,7.368
3,19-03-2010,375328.59,0,60.42,214.5301219,7.368
3,26-03-2010,359949.27,0,57.06,214.3241011,7.368
