Store,Fuel_Price
1,2.572
1,2.548
1,2.514
1,2.561
1,2.625
1,2.667
1,2.72
1,2.732
1,2.719
1,2.77
1,2.808
1,2.795
1,2.78
1,2.835
1,2.854
1,2.826
1,2.759
1,2.705
1,2.668
2,2.572
2,2.548
2,2.514
2,2.561
2,2.625
2,2.667
2,2.72
2,2.732
2,2.719
2,2.77
2,2.808
2,2.795
2,2.78
2,2.835
2,2.854
2,2.826
2,2.759
2,2.705
2,2.668
2,2.637
3,2.572
3,2.548
3,2.514
3,2.561
3,2.625
3,2.667
3,2.72
3,2.732
3,2.719
3,2.77
3,2.808
3,2.795
3,2.78
3,2.835
3,2.854
3,2.826
3,2.759
3,2.705
3,2.668
3,2.637
4,2.598
4,2.573
4,2.54
4,2.59
4,2.654
4,2.704
4,2.743
4,2.752
4,2.74
4,2.773
4,2.81
4,2.805
4,2.787
4,2.836
4,2.845
4,2.82
4,2.756
4,2.701
4,2.668
4,2.635
5,2.572
5,2.548
5,2.514
5,2.561
5,2.625
5,2.667
5,2.72
5,2.732
5,2.719
5,2.77
5,2.808
5,2.795
5,2.78
5,2.835
5,2.854
5,2.826
5,2.759
5,2.705
5,2.668
5,2.637
6,2.572
6,2.548
6,2.514
6,2.561
6,2.625
6,2.667
6,2.72
6,2.732
6,2.719
6,2.77
6,2.808
6,2.795
6,2.78
6,2.835
6,2.854
6,2.826
6,2.759
6,2.705
6,2.668
6,2.637
7,2.58
7,2.572
7,2.55
7,2.586
7,2.62
7,2.684
7,2.692
7,2.717
7,2.725
7,2.75
7,2.765
7,2.776
7,2.766
7,2.771
7,2.788
7,2.776
7,2.737
7,2.7
7,2.684
7,2.674
8,2.572
8,2.548
8,2.514
8,2.561
8,2.625
8,2.667
8,2.72
8,2.732
8,2.719
8,2.77
8,2.808
8,2.795
8,2.78
8,2.835
8,2.854
8,2.826
8,2.759
8,2.705
8,2.668
8,2.637
9,2.572
9,2.548
9,2.514
9,2.561
9,2.625
9,2.667
9,2.72
9,2.732
9,2.719
9,2.77
9,2.808
9,2.795
9,2.78
9,2.835
9,2.854
9,2.826
9,2.759
9,2.705
9,2.668
9,2.637
10,2.962
10,2.828
10,2.915
10,2.825
10,2.877
10,3.034
10,3.054
10,2.98
10,3.086
10,3.004
10,3.109
10,3.05
10,3.105
10,3.127
10,3.145
10,3.12
10,3.058
10,2.941
10,3.057
10,2.935
